Zomato URL,Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Ratings,No of Votes
https://www.zomato.com/chennai/chilis-american-grill-bar-velachery,Chili's American Grill & Bar," S-29, 2nd Floor, Phoneix Market City, 142, Velachery Main Road, Chennai","Phoenix Market City, Velachery","Mexican, American, Tex-Mex, Burger","Burgers,Fajita,Pasta,Steak,Nachos,Molten Chocolate Cake,Fries",1400,4.8,3071
https://www.zomato.com/chennai/crimson-chakra-adyar,Crimson Chakra," 13, 1st Crescent Road, Gandhi Nagar, Adyar, Chennai",Adyar,"South Indian, North Indian, Asian, Continental","Fish,Pasta,Gulab Jamun,Mutton Curry,Panneer Butter Masala,Tomato Soup,Appam",1000,3.9,1595
https://www.zomato.com/chennai/that-madras-place-adyar,That Madras Place," 34/29, 2nd Main Road, Kasturibai Nagar, Adyar, Chennai",Adyar,"European, Cafe, Italian, Salad, Sandwich, Continental, American, Beverages","Pasta,Fries,Sandwich,Fish,Chicken Lasagne,Mushroom Ravioli,Chips",800,4.1,2544
https://www.zomato.com/chennai/wild-garden-cafe-amethyst-royapettah,Wild Garden Cafe - Amethyst," Whites Road, Royapettah, Chennai ",Royapettah,"Cafe, Italian, Continental","Coffee,Pizza,Pasta,Sandwich,Hot Chocolate,Tea,Cheesecake",1400,4.4,1856
https://www.zomato.com/chennai/hotel-paramount-kilpauk,Hotel Paramount," 12/5, Ormes Road, Kilpauk, Chennai",Kilpauk,"North Indian, Chinese, Seafood, South Indian, Biryani","Biryani,Butter Chicken,Tandoori Chicken,Tangdi Kabab,Paya,Paratha,Chilli Chicken",500,4.1,1141
https://www.zomato.com/chennai/the-farm-semmancheri,The Farm," 1/277, OMR, Semmancheri Village, Semmancheri, Chennai",Semmancheri,"Steak, Pizza, North Indian, Juices","Paneer Fingers,Mango Lassi,Salad,Spinach Soup,Wood Fire Pizza,Herbed Potato Wedges,Hibiscus Soda",1500,4.4,969
https://www.zomato.com/chennai/cafe-central-t-nagar,Cafe Central," 15 & 16, Dr. Nair Road, Pondy Bazaar, T. Nagar, Chennai",T. Nagar,"Cafe, Biryani, American, Burger, Italian, Juices","Burgers,Pizza,Fries,Maggi,Pasta,Fish,Wings",850,4.3,968
https://www.zomato.com/chennai/the-cycle-gap-anna-nagar-west,The Cycle Gap," 125, 3rd Floor, 3rd Avenue, W Block, Anna Nagar West, Chennai",Anna Nagar West,"South Indian, Chinese, Continental, Finger Food","Cocktails,Mocktails,Beer,Pasta,Chicken Wings,Fries,Calamari Rings",1700,4.3,760
https://www.zomato.com/chennai/hotel-junior-kuppanna-t-nagar,Hotel Junior Kuppanna," 4, Kannaiya Street, North Usman Road, Near Reliance Fresh, T. Nagar, Chennai",T. Nagar,"South Indian, Chinese, Biryani","Paratha,Pallipalayam Chicken,Mutton Biryani,Fish Fry,Mutton Sukha,Brain Fry,Kothu Parotta",700,4.1,951
https://www.zomato.com/chennai/gastronomer-by-double-roti-teynampet,Gastronomer by Double Roti," 4/27, Cenotaph,  1st Street, Teynampet, Chennai",Teynampet,"Cafe, American, Fast Food, Burger, Momos","Burgers,Fries,Oreo Shake,Healthy Wealthy Panini,Sandwich,Nachos,Chilli Lime Pesto Burger",1000,4.4,2295
https://www.zomato.com/chennai/sandys-chocolate-laboratory-nungambakkam,Sandy's Chocolate Laboratory," 16, Wallace Garden, 2nd Street, Nungambakkam, Chennai",Nungambakkam,"Cafe, Continental, Italian, Desserts","Tiny Chocolate Cake,Hot Chocolate,Cheesecake,Sandwich,Pesto Pasta,Pancakes,Brownie",1400,4.4,2199
https://www.zomato.com/chennai/welcome-hotel-purasavakkam,Welcome Hotel," 112/241, Purasawalkam High Road, Purasavakkam, Chennai.",Purasavakkam,"South Indian, Sandwich, Juices","Podi Dosa,Pongal,Idli Sambar,Vada Curry,Rava Dosa,Coffee,Masala Dosa",250,4.5,756
https://www.zomato.com/chennai/food-@-finger-anna-nagar-west,Food @ Finger," Park Road Signal, Thirumangalam, Opposite Waves, Anna Nagar West, Chennai",Anna Nagar West,"North Indian, Chinese, BBQ, North Eastern","Shawarma,Brownie,Chicken Grill,Bbq Chicken,Faluda,Hyderabadi Biryani,Chicken Tikka Masala",700,3.8,1162
https://www.zomato.com/chennai/the-pasta-bar-veneto-vadapalani,The Pasta Bar Veneto," 1st Floor, Forum Vijaya Mall, Arcot Road,, Chennai., Vadapalani, Chennai","Forum Vijaya Mall, Vadapalani","Italian, Continental, Salad, Healthy Food, Beverages, Burger, Desserts, Pizza","Pasta,Mudpie,Tiramisu,Sesame Chicken,Brownie,Veggie Pizza,Mushroom Crostini",900,3.8,684
https://www.zomato.com/chennai/andhikkadai-velachery,Andhikkadai," 20, Dhandeeswaram Main Road, Velachery, Chennai",Velachery,South Indian,"Coffee,Sweet Kozhukattai,Idli,Kothu Parotta,Appam,Badam Milk,Pongal",300,4.5,804
https://www.zomato.com/chennai/honey-spice-gst-road,Honey Spice," 31, Plot 9, Urapakkam, Near Vandalur Zoo, GST Road, Chennai",GST Road,South Indian,"Tandoori Chicken,Mutton Biryani,Butter Naan,Dal Makhani,Panneer Butter Masala,Chicken Butter Masala,Chicken Grill",500,4,1187
https://www.zomato.com/chennai/tovo-1-mylapore,Tovo," 113, R.K Salai, Mylapore, Chennai",Mylapore,"Burger, American, Continental, Steak, Salad","Burgers,Chicken Skewer,Gourmet Burger,Chocolate Cake,Rolls,Orange Mojito,Carrot Cake",1600,4.1,1946
https://www.zomato.com/chennai/barbeque-nation-t-nagar,Barbeque Nation," 39, 1st Floor, Bazullah Road, Star City Serviced Apartments, T. Nagar, Chennai",T. Nagar,"North Indian, Continental, Kebab, BBQ","Fish,Kulfi,Brownie,Prawn,Mocktails,Gulab Jamun,Salad",1500,4.8,5770
https://www.zomato.com/chennai/sree-akshayam-anna-nagar-east,Sree Akshayam," AJ-6, 4th Avenue, Shanthi Colony, Anna Nagar East, Chennai",Anna Nagar East,"South Indian, North Indian, Chinese","Paratha,Paneer Tikka,Naan,Pongal,Filtered Coffee,Vada Curry,Panneer Butter Masala",700,4.1,1109
https://www.zomato.com/chennai/boats-based-on-a-true-story-besant-nagar,BOATS - Based On A True Story," 17, 5th Avenue, Besant Nagar, Chennai",Besant Nagar,"Continental, Chinese, North Indian","Cocktails,Nachos,Pasta,Beer,Mocktails,Chicken Skewer,Paneer Tikka",1700,4.2,899
https://www.zomato.com/chennai/maplai-nungambakkam,Maplai," 14, Sterling Avenue, Nungambakkam, Chennai",Nungambakkam,"Chettinad, Biryani, South Indian","Paratha,Mutton Biryani,Thali,Faluda,Kola Urundai,Chicken Biryani,Appam",1000,4.4,4282
https://www.zomato.com/chennai/the-brew-room-the-savera-hotel-mylapore,The Brew Room - The Savera Hotel," The Savera Hotel, 146, RK Salai, Mylapore, Chennai","The Savera Hotel, RK Salai (Cathedral Road)","Cafe, Continental, Italian, Sandwich, Salad, Desserts","Coffee,Hot Chocolate,Sandwich,Pizza,Waffles,Salsa,Smoothie Chocolate",1100,4.4,972
https://www.zomato.com/chennai/gossip-fusion-bistro-kanathur,Gossip Fusion Bistro," New 141, Old 191, Opposite HP Fuel Station, East Coast Road, Uthandi, Kanathur, Chennai",Kanathur,"Italian, Continental, Burger, Sandwich, Wraps, Kerala, North Indian, South Indian","Tender Coconut Mousse,Iced Tea,Pasta,Burgers,Pizza,Brownie,Breakfast Buffet",1500,4.6,915
https://www.zomato.com/chennai/mexicano-griller-nungambakkam,Mexicano Griller," 48, Sterling Avenue, Near Loyola College, Nungambakkam, Chennai",Nungambakkam,"Mexican, Continental, Tex-Mex, American, Burger, Italian, Desserts, Beverages","Nachos,Pasta,Brownie,Fish Grill,Pizza,Fajita,Chicken Grill",800,4,2363
https://www.zomato.com/chennai/real-food-mall-potheri,Real Food Mall," 29/A, Pillaiyar Koil Street, SRM Back Gate, Potheri, Chennai",Potheri,"Biryani, South Indian","Shawarma,Pizza,Panneer Butter Masala,Chicken Grill,Chicken Butter Masala,Roti",300,3.6,942
https://www.zomato.com/chennai/thambi-vilas-t-nagar,Thambi Vilas," Old 110/1 New 138, Habibullah Road, T. Nagar, Chennai",T. Nagar,"South Indian, Biryani","Elaneer Payasam,Rose Milk,Paratha,Biryani,Mutton Chukka,Chicken 65,Kola Urundai",600,4,798
